address1,address2,bamm_approved,bamm_used_desc,cems_used,city,co2_captured,comments,county,county_fips,eggrt_facility_id,emission_classification_code,emitted_co2_supplied,facility_id,facility_name,facility_types,frs_id,latitude,longitude,naics_code,parent_company,process_stationary_cml,program_name,program_sys_id,reported_industry_types,reported_subparts,reporting_status,rr_monitoring_plan,rr_monitoring_plan_filename,rr_mrv_plan_url,state,state_name,submission_id,tribal_land_id,uu_rd_exempt,year,zip
"12377 Merit Dr., Suite 1700",,,,,Dallas,,,DALLAS COUNTY,48113,537760.0000000000,DEFAULT,,1008957,"EXCO Resources, Inc. - Arkla Basin #230",Onshore Oil & Gas Production,110043806174,32.915930000000000,-96.772490000000000,211111,"EXCO RESOURCES, INC (100%)",,Green House Gas e-GGRT,537760,W-ONSH,W,,,,,TX,Texas,68701.0000000000,,,2012,75251
31 03 20TH AVE,,,,,ASTORIA,,,Queens,36081,521755.0000000000,DEFAULT,,1000467,Poletti 500 MW CC,Direct Emitter,110071160717,40.788100000000000,-73.905600000000000,221112,NEW YORK POWER AUTHORITY (100%),,Clean Air Markets Division Business Database,8124,D,D,,,,,NY,New York,112664.0000000000,,,2015,11105
115 Lucas Wyatt Rd.,,,,,West Monroe,,,OUACHITA PARISH,22073,527363.0000000000,CU_OTHERS,,1004736,Gulf South Pipeline - Vixen Station,Direct Emitter,110043805317,32.311838000000000,-92.268272000000000,486210,LOEWS CORP (100%),,Green House Gas e-GGRT,527363,"C,W-NGTC","C,W",,,,,LA,Louisiana,345877.0000000000,,,2022,71292
5693 HIGHWAY F,,,,Y,CLIFTON HILL,,,Randolph,29175,519886.0000000000,CU_OTHERS,,1000716,Thomas Hill Energy Center,Direct Emitter,110000444243,39.553100000000000,-92.639200000000000,221112,ASSOCIATED ELECTRIC COOPERATIVE INC (100%),,Clean Air Markets Division Business Database,424,"C,D","C,D",,,,,MO,Missouri,259457.0000000000,,,2020,65244
98 N. TWOMBLY LANE,,,,,HOBBS,,,Lea,35025,521782.0000000000,CU_OTHERS,,1007328,Hobbs Generating Station,Direct Emitter,110071160720,32.728200000000000,-103.309500000000000,221112,LEA POWER PARTNERS LLC (100%),,Clean Air Markets Division Business Database,8153,"C,D","C,D",,,,,NM,New Mexico,177605.0000000000,,,2018,88240
One Williams Center,,,,,Tulsa,,,WAGONER COUNTY,40145,571661.0000000000,DEFAULT,,1013340,Northwest Pipeline GP - Pipeline,Transmission Pipelines,110071162483,36.082560000000000,-95.672450000000000,486210,THE WILLIAMS COS INC (100%),,Green House Gas e-GGRT,571661,W-TRANS,W,,,,,OK,Oklahoma,361634.0000000000,35.0000000000,,2023,74172
202 S. Frisco,,,,,Tulsa,,,TULSA,40143,526006.0000000000,CU_ONLY,,1004202,Veolia Energy NA Tulsa,Direct Emitter,110070081887,36.159288000000000,-95.996478000000000,221330,"Veolia Environnement North America Operations, Inc. (100%)",,Green House Gas e-GGRT,526006,C,C,,,,,OK,Oklahoma,49251.0000000000,35.0000000000,,2010,74103
,,,,,Offshore,,,,,544263.0000000000,CU_OTHERS,,1009949,West Delta 30 P,Direct Emitter,,29.129300000000000,-89.613900000000000,211111,ENERGY XXI GOM LLC (100%),,Green House Gas e-GGRT,544263,"C,W-OFFSH","C,W",,,,,LA,Louisiana,164966.0000000000,,,2017,00000
13100 MUNSON HWY,,,,,MILTON,,,SANTA ROSA COUNTY,12113,524395.0000000000,CU_OTHERS,,1002837,FLORIDA GAS TRANSMISSION COMPANY - MUNSON,Direct Emitter,110007354362,30.911465000000000,-86.887276000000000,486210,"ENERGY TRANSFER PARTNERS, LP (50%); Kinder Morgan (50%)",,FRS,110007354362,"C,W-NGTC","C,W",,,,,FL,Florida,108666.0000000000,,,2014,32570
6050  NORTH RIVER ROAD,,,,,WATERVILLE,,,LUCAS COUNTY,39095,523923.0000000000,CU_OTHERS,,1002907,JOHNS MANVILLE,Direct Emitter,110000383870,41.530340000000000,-83.706790000000000,327212,BERKSHIRE HATHAWAY INC (100%),,FRS,110000383870,"C,N","C,N",,,,,OH,Ohio,180890.0000000000,,,2018,43566
